series,patient,group,label,slice_idx,liver_px,fo_mean,fo_median,fo_std,fo_skewness,fo_kurtosis,fo_p10,fo_p90,fo_iqr,fo_range,fo_entropy,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_dissimilarity,glcm_asm
Patient_1_After_s08,Patient_1_After,Patient_1,1,15,4339,50.40838902973035,55.0,18.44281529382231,-2.7184911842184065,9.12723354080095,32.0,64.0,12.0,162.0,1.106084683289433,5.557547435224663,0.9725160764056249,0.9490043607432928,0.9679667026090518,0.24163656395309696,0.9006097265933637
Patient_1_After_s08,Patient_1_After,Patient_1,1,18,5434,53.25174825174825,56.0,19.84083523451116,-2.5084716242032123,9.947332682823765,38.0,69.0,12.0,219.0,0.8486847181521131,4.272025759093655,0.9750975681289156,0.9365696690345411,0.9643881221462474,0.22531206263908804,0.8771632210672081
Patient_1_After_s08,Patient_1_After,Patient_1,1,21,6702,51.73783945091018,55.0,16.996139361494773,-3.220790481661666,14.500194130447415,40.0,64.0,10.0,184.0,0.9486738903387649,8.520423799095685,0.9764679373564821,0.922100049465015,0.9547172961292676,0.3227350254118028,0.850269036868067
Patient_1_After_s08,Patient_1_After,Patient_1,1,24,7504,53.63872601279318,55.0,12.298945916557503,-4.582493268582448,38.62654224727843,45.0,63.0,9.0,230.0,0.7043579019870805,5.761194138432599,0.9787234425103786,0.9132936960073276,0.9567720370387437,0.2545160399335989,0.834105877751369
Patient_1_After_s08,Patient_1_After,Patient_1,1,27,7511,51.22220742910398,53.0,13.433139093628755,-4.327358118852745,28.79924829948703,43.0,61.0,8.0,192.0,0.8566200987690583,5.911952594176771,0.9843569918740668,0.9135381849802694,0.9527567029931936,0.2647144287342872,0.834552397188045
Patient_1_After_s08,Patient_1_After,Patient_1,1,30,5892,50.60132382892057,52.0,13.879613504133438,2.3895492094221282,117.25252889762966,41.0,60.0,9.0,455.0,0.37583754051946094,1.4753381223987074,0.9717021614635838,0.931779972120317,0.9773541822117412,0.1127106634818992,0.8682143145938446
Patient_1_After_s08,Patient_1_After,Patient_1,1,33,4027,51.4427613608145,52.0,10.99838076997599,-0.05024572398499353,69.73331084502873,43.0,59.0,8.0,353.0,0.4606106462013206,1.7888235603885383,0.9709486726168087,0.9532250950614413,0.9821577607272431,0.10184232404829459,0.9086382862118633
Patient_1_After_s08,Patient_1_After,Patient_1,1,36,2956,50.94621109607578,53.0,13.290300465230839,-5.1629511462301405,36.262006365512285,44.0,60.0,8.0,159.0,0.9836131508199953,4.891509298364085,0.97484545967906,0.9655706569717741,0.9799179369676991,0.15429538010576074,0.9323268054143038
Patient_1_After_s08,Patient_1_After,Patient_1,1,39,1961,52.175420703722594,53.0,10.17840990472668,-4.3156627762587245,30.53740437835645,45.0,61.0,8.0,121.0,1.277794678284479,3.7919519233292647,0.9682852552122719,0.9770515840474577,0.9846708054117492,0.12328886032266254,0.9546298588980017
Patient_1_After_s08,Patient_1_After,Patient_1,1,42,601,52.738768718802,53.0,5.256164543204907,-1.0946057854729592,4.344772280051698,47.0,59.0,6.0,43.0,3.1515010170457995,2.1321862030184073,0.9174776646444747,0.9927387437539946,0.9938442106692811,0.07715154179998279,0.9855302334167162
