series,patient,group,label,fo_mean,fo_median,fo_std,fo_variance,fo_skewness,fo_kurtosis,fo_energy,fo_entropy,fo_uniformity,fo_range,fo_p10,fo_p90,fo_iqr,grad_mean,grad_std,grad_p90,axial_glcm_contrast,axial_glcm_correlation,axial_glcm_energy,axial_glcm_homogeneity,axial_glcm_dissimilarity,axial_glcm_asm,sagittal_glcm_contrast,sagittal_glcm_correlation,sagittal_glcm_energy,sagittal_glcm_homogeneity,sagittal_glcm_dissimilarity,sagittal_glcm_asm,coronal_glcm_contrast,coronal_glcm_correlation,coronal_glcm_energy,coronal_glcm_homogeneity,coronal_glcm_dissimilarity,coronal_glcm_asm,shape_volume,shape_extent_z,shape_extent_y,shape_extent_x,shape_elongation,shape_flatness,shape_sphericity
Patient_1_Before_s03,Patient_1_Before,Patient_1,1,46.48168202440691,48.0,20.379690504857788,415.3317850737906,-1.4091427797936253,5.727021394513143,2013260308.0,1.7531836405454357,0.004654005339746744,228.0,24.0,69.0,23.0,457.18258243851847,472.20194170131526,902.663780151092,32.40739311917245,0.9608320271752717,0.40752005197800356,0.5279669734925101,2.9134780835424783,0.1660816327294208,86.46329223259468,0.8967874666943251,0.4153005132345408,0.49771059182982236,4.792644924877118,0.1726988442676613,79.7329579059251,0.9177284424724261,0.40975382499807106,0.5199437471976001,4.033511045563576,0.16806162112844608,781582.0,252.0,266.0,45.0,0.16917293233076347,0.17857142857135772,0.079310560064079
Patient_2_After_s01,Patient_2_After,Patient_2,1,101.59049395525025,97.0,40.36479315595407,1629.3165265229566,3.849187562505343,26.252091151014355,9571224789.0,0.8644072512661579,0.0016134148418429821,500.0,71.0,130.0,28.0,538.7220219209297,514.6626611715202,1038.1263892222692,20.532098345669727,0.944287859799503,0.4616973797971361,0.6359160824104282,1.7739010602336585,0.21317526876913123,51.862172777455015,0.8685458584854785,0.4445046591987372,0.5665874107363269,3.401902200886024,0.1978374883491818,43.68646424805614,0.8399014624603219,0.5605906450842624,0.7076719283524002,2.1036752188716124,0.31444294018932073,800943.0,261.0,240.0,55.0,0.21072796934857826,0.2291666666665712,0.08603624860553369
Patient_2_After_s02,Patient_2_After,Patient_2,1,63.125442230139775,63.0,32.200946006842145,1036.9009237355629,3.6499313518680134,40.312578607116045,3206495283.0,0.842003699979242,0.0018001633394933352,500.0,35.0,88.0,25.0,547.2260998206532,579.6038779092704,1252.4771455000687,12.343375514195888,0.9495667469206286,0.5136660764588281,0.6817765458682145,1.3991668148771184,0.2638647787123318,63.94222207994012,0.8627074497128686,0.43970585686632446,0.5376413703979864,3.974244332953218,0.19355474841563275,43.78463459548919,0.8996239583728907,0.5149060535537763,0.643159107132964,2.6350706326034956,0.2653670621545523,638525.0,261.0,240.0,47.0,0.18007662835242144,0.19583333333325176,0.06858951965476744
Patient_2_After_s03,Patient_2_After,Patient_2,1,45.66347413238892,45.0,34.218054450781295,1170.8752503966336,4.23386823116874,43.76678602132722,2577937472.0,0.842019209863996,0.0018440821888612553,500.0,17.0,70.0,24.0,547.6858500125907,578.5265957367196,1256.342310037302,9.921536530655883,0.9540881927461589,0.5136657013821645,0.6867158471367907,1.3034685050153498,0.26386472590089743,48.47759476726472,0.8670916748174359,0.44504295361535456,0.5513211414549986,3.5028480936762394,0.19842576373087017,29.294362256601993,0.8874989497717046,0.4814799789055031,0.6443949732297841,2.200098282806626,0.23206935215812619,791743.0,286.0,266.0,45.0,0.15734265734260233,0.16917293233076347,0.06463794052972643
Patient_2_After_s04,Patient_2_After,Patient_2,1,45.66347413238892,45.0,34.218054450781295,1170.8752503966336,4.23386823116874,43.76678602132722,2577937472.0,0.842019209863996,0.0018440821888612553,500.0,17.0,70.0,24.0,547.6858500125907,578.5265957367196,1256.342310037302,9.921536530655883,0.9540881927461589,0.5136657013821645,0.6867158471367907,1.3034685050153498,0.26386472590089743,48.47759476726472,0.8670916748174359,0.44504295361535456,0.5513211414549986,3.5028480936762394,0.19842576373087017,29.294362256601993,0.8874989497717046,0.4814799789055031,0.6443949732297841,2.200098282806626,0.23206935215812619,791743.0,286.0,266.0,45.0,0.15734265734260233,0.16917293233076347,0.06463794052972643
Patient_2_Before_s01,Patient_2_Before,Patient_2,1,79.82671549958832,80.0,35.104650967610475,1232.336519557755,4.060639054819325,40.54864591106781,6409754201.0,0.8232866559471861,0.0020893240215541435,500.0,54.0,101.0,21.0,458.31051300533727,494.30192810120894,928.6644711483019,10.5438974951773,0.9587002083704669,0.5636524476609551,0.7313726923789111,1.1573211284118,0.3177180909292093,46.192375570137905,0.92549781997658,0.39256051847761264,0.5429193125284093,3.0525003206955317,0.15415847571022828,20.525386504266816,0.9208301524066165,0.5173071935040966,0.734056078138408,1.399912178528913,0.2676800627217414,842874.0,237.0,197.0,81.0,0.34177215189859,0.4111675126901466,0.1209258077656135
Patient_2_Before_s02,Patient_2_Before,Patient_2,1,83.8408290412659,80.0,35.49819392968554,1260.1217722695633,1.9904628217837217,16.109194263893805,3339594598.0,0.8475358105721913,0.0020836262329817254,500.0,55.0,119.0,19.0,399.8256330127019,524.365985876082,918.970837345744,21.54873838545921,0.9715554851832163,0.6737914804588806,0.81896484231673,1.036179421419655,0.4540033768904638,41.19981678700994,0.9298538144059494,0.704284049804471,0.8165322445085179,1.5316367966829074,0.49605791559720785,47.29166246214796,0.8978671518455207,0.8993517091960906,0.9215128899096654,1.2102204560069425,0.8088518198259576,402875.0,203.0,224.0,75.0,0.3348214285712791,0.36945812807863576,0.06845854132540673
Patient_2_Before_s03,Patient_2_Before,Patient_2,1,50.212745235535195,51.0,34.0911448204542,1162.206155169181,4.861901749178114,51.65882010657258,2363829101.0,0.8209301769845222,0.002065600311850607,500.0,25.0,71.0,22.0,515.6934446989665,583.8101733193218,1174.0687799257448,7.535281048188156,0.9565644295870465,0.5350653854669544,0.7385979385010425,0.9621302835788179,0.2863069303525374,105.98526156800662,0.8785088280521419,0.3552300065016935,0.4687438005517219,4.97587362655299,0.12648012136308093,51.47886365805735,0.9038876743070063,0.4841184492137366,0.6158133377412003,2.9455830892423567,0.23461779203567878,641730.0,256.0,239.0,42.0,0.1640624999999359,0.17573221757314825,0.07305228826787138
Patient_2_Before_s04,Patient_2_Before,Patient_2,1,80.65733048908595,80.0,35.95910500054949,1293.0572324405437,1.0728298053500027,15.953031741224603,3630285050.0,0.8531008784828735,0.001968125067640256,500.0,51.0,107.0,21.0,475.35227985533976,611.2393465073735,1155.5189310435376,9.10614876122548,0.9684532162272226,0.5916618370817373,0.8266860689069297,0.7556342935214297,0.3500811558642603,70.15726289538037,0.9171880568444148,0.47984999213081714,0.6531317617003309,2.880181570672613,0.2304361802395724,68.29593912574032,0.9134319740840177,0.7552341168231022,0.8114525132439476,2.199713116878302,0.5704472860675034,465501.0,264.0,207.0,70.0,0.2651515151514147,0.3381642512075661,0.04831814083775538
Patient_GA_Healthy_s01,Patient_GA_Healthy,Patient_GA,0,116.9310599720361,120.0,27.685663327562857,766.4959538871587,-2.0922877673733624,11.304708267030758,5762549913.0,0.8989203749944422,0.0022518905249869796,458.0,95.0,140.0,22.0,563.5878686295173,783.5409415957399,1658.2288744039224,12.170362667293809,0.9725956618172691,0.5558750028225269,0.75275679336101,1.0947438021160507,0.30901249107234796,69.38784775933578,0.9269434610234432,0.464209248209976,0.6205135545855638,3.0225937306929263,0.215667266920174,36.40148035980889,0.945667622772435,0.41785984351458066,0.6400016540376712,2.198242497697104,0.17471399579620062,399086.0,231.0,167.0,46.0,0.19913419913411293,0.27544910179624227,0.061834653421692184
